SV;FDEF;SDECL;FDECL;VDECL;STMT;EXPR;COMM;ER;SYMB;SYMT;FCALL;INC;CPP;SRC;RID;ND;BEGIN;END;EXPR;TD;NDavg;FID;REQ
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";143.0;1;8.0;10.0;defined(HAVE_A);1;1.0;127;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";145.0;1;14.0;16.0;defined(HAVE_A);1;1.0;127;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";147.0;1;20.0;22.0;defined(HAVE_A);1;1.0;127;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";150.0;1;28.0;30.0;defined(HAVE_A);1;1.0;127;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";152.0;1;34.0;36.0;defined(HAVE_A);1;1.0;127;1
2.83;1.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\10_testStatistics.c";234.0;1;3.0;9.0;defined(HAVE_A);1;1.0;127;1
2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\10_testStatistics.c";235.0;1;12.0;16.0;defined(HAVE_A);1;1.0;127;1
1.41;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\10_testStatistics.c";237.0;1;29.0;31.0;defined(HAVE_A);1;1.0;127;1
1.41;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";250.0;1;6.0;8.0;defined(HAVE_A);1;1.0;127;1
2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";251.0;1;12.0;17.0;defined(HAVE_A);1;1.0;127;1
2.83;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";252.0;1;21.0;25.0;defined(HAVE_A);1;1.0;127;1
2.83;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";253.0;1;33.0;36.0;defined(HAVE_A);1;1.0;127;1
1.73;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";254.0;1;41.0;45.0;defined(HAVE_A);1;1.0;127;1
2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";255.0;1;48.0;50.0;defined(HAVE_A);1;1.0;127;1
1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\14_undisciplined_01.h";256.0;1;59.0;61.0;defined(HAVE_A);1;1.0;127;1
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";118.0;1;18.0;19.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";119.0;1;20.0;21.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";120.0;1;22.0;23.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";121.0;1;24.0;25.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";122.0;1;26.0;27.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";123.0;1;28.0;29.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";124.0;1;30.0;31.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";125.0;1;32.0;33.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";126.0;1;34.0;36.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";127.0;1;37.0;39.0;(defined(_ARCH_PPC));1;1.0;117;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";128.0;1;40.0;41.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";129.0;1;44.0;48.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";130.0;1;51.0;56.0;(defined(_ARCH_PPC));1;1.0;117;0
1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";131.0;1;59.0;61.0;(defined(_ARCH_PPC));1;1.0;117;0
4.24;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\06_sameFeatureNested.h";141.0;1;2.0;8.0;A;1;1.375;126;0
1.41;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\06_sameFeatureNested.h";142.0;2;4.0;6.0;A;1;1.375;126;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\09_contraints_01.h";218.0;1;146.0;147.0;A;1;1.375;126;0
2.83;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\13_sameDirectiveSameLevel.h";243.0;1;6.0;15.0;A;1;1.375;126;0
1.41;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\13_sameDirectiveSameLevel.h";244.0;2;8.0;10.0;A;1;1.375;126;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\13_sameDirectiveSameLevel.h";245.0;2;10.0;12.0;A;1;1.375;126;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\13_sameDirectiveSameLevel.h";247.0;1;15.0;17.0;A;1;1.375;126;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\13_sameDirectiveSameLevel.h";248.0;1;17.0;19.0;A;1;1.375;126;0
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";144.0;1;10.0;12.0;!defined(HAVE_A);1;1.0;128;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";146.0;1;16.0;18.0;!defined(HAVE_A);1;1.0;128;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";148.0;1;22.0;24.0;!defined(HAVE_A);1;1.0;128;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";149.0;1;26.0;28.0;!defined(HAVE_A);1;1.0;128;1
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv01.h";151.0;1;32.0;34.0;!defined(HAVE_A);1;1.0;128;1
4.58;1.0;1.0;1.0;4.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\10_testStatistics.c";236.0;1;16.0;25.0;!defined(HAVE_A);1;1.0;128;1
4.24;0.0;0.0;0.0;1.0;1.0;4.0;0.0;0.2;1.0;5.0;2.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\10_testStatistics.c";238.0;1;31.0;38.0;!defined(HAVE_A);1;1.0;128;1
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv02.h";155.0;1;12.0;14.0;!(defined(A)||defined(B));2;1.0;131;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv02.h";156.0;1;16.0;18.0;!(defined(A)||defined(B));2;1.0;131;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\07_semanticEquiv02.h";153.0;1;8.0;10.0;defined(A);1;1.0;129;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\09_contraints_01.h";224.0;1;165.0;166.0;defined(A);1;1.0;129;0
2.83;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\01_if_simple.h";4.0;2;6.0;9.0;HAVE_A;1;2.0;4;1
6.56;0.0;0.0;0.0;3.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;10.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\02_if_nested.h";8.0;2;6.0;29.0;HAVE_A;1;2.0;4;1
1.41;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";133.0;1;95.0;97.0;_ARCH_PPC;1;1.0;119;0
1.41;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\04_directiveCommentIntertwined.h";136.0;1;111.0;113.0;_ARCH_PPC;1;1.0;119;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\03_literal.h";57.0;1;47.0;48.0;('C'==67);0;1.0;56;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\03_literal.h";83.0;1;73.0;74.0;(']'==93);0;1.0;82;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\09_contraints_01.h";227.0;1;174.0;175.0;!defined(D);1;1.0;199;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\09_contraints_01.h";214.0;1;115.0;116.0;A%B==2;2;1.0;189;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\03_literal.h";60.0;1;50.0;51.0;('F'==70);0;1.0;59;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\03_literal.h";94.0;1;84.0;85.0;('h'==104);0;1.0;93;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\03_literal.h";17.0;1;7.0;8.0;('\t'==9);0;1.0;16;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\03_literal.h";111.0;1;101.0;102.0;('y'==121);0;1.0;110;0
2.83;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C:\Users\kludw\_DEVELOPMENT\FeatureCoPP\test_dos\01_if_simple.h";5.0;2;11.0;14.0;HAVE_B&&HAVE_C;2;2.0;5;0
